id,year,month,name,crime_count,crime_rate,incident_parent_type
1600000US2429000,2016,1,"Forestville, MD",2,0.000173415416630538,Traffic
1600000US2429525,2015,1,"Fort Washington, MD",10,0.000409048144966663,Breaking & Entering
1600000US2429525,2015,1,"Fort Washington, MD",1,0.0000409048144966663,Community Policing
1600000US2429525,2015,1,"Fort Washington, MD",7,0.000286333701476664,Theft
1600000US2429525,2015,1,"Fort Washington, MD",11,0.000449952959463329,Theft from Vehicle
1600000US2429525,2015,1,"Fort Washington, MD",11,0.000449952959463329,Theft of Vehicle
1600000US2429525,2016,1,"Fort Washington, MD",2,0.0000818096289933325,Breaking & Entering
1600000US2429525,2016,1,"Fort Washington, MD",1,0.0000409048144966663,Theft
1600000US2429525,2016,1,"Fort Washington, MD",1,0.0000409048144966663,Theft from Vehicle
1600000US2429790,2015,1,"Four Corners, MD",1,0.000130958617077004,Assault
1600000US2429790,2015,1,"Four Corners, MD",3,0.000392875851231011,Breaking & Entering
1600000US2429790,2015,1,"Four Corners, MD",1,0.000130958617077004,Death
1600000US2429790,2015,1,"Four Corners, MD",3,0.000392875851231011,Disorder
1600000US2429790,2015,1,"Four Corners, MD",3,0.000392875851231011,Drugs
1600000US2429790,2015,1,"Four Corners, MD",3,0.000392875851231011,Liquor
1600000US2429790,2015,1,"Four Corners, MD",3,0.000392875851231011,Theft
1600000US2429790,2015,1,"Four Corners, MD",1,0.000130958617077004,Theft from Vehicle
1600000US2429790,2015,1,"Four Corners, MD",20,0.00261917234154007,Traffic
1600000US2429790,2016,1,"Four Corners, MD",2,0.000261917234154007,Assault
1600000US2429790,2016,1,"Four Corners, MD",1,0.000130958617077004,Breaking & Entering
1600000US2429790,2016,1,"Four Corners, MD",2,0.000261917234154007,Death
1600000US2429790,2016,1,"Four Corners, MD",4,0.000523834468308015,Disorder
1600000US2429790,2016,1,"Four Corners, MD",1,0.000130958617077004,Kidnapping
1600000US2429790,2016,1,"Four Corners, MD",7,0.000916710319539026,Theft
1600000US2429790,2016,1,"Four Corners, MD",4,0.000523834468308015,Theft from Vehicle
1600000US2429790,2016,1,"Four Corners, MD",1,0.000130958617077004,Theft of Vehicle
1600000US2429790,2016,1,"Four Corners, MD",49,0.00641697223677318,Traffic
1600000US2430325,2015,1,"Frederick, MD",217,0.0032958687727825,Alarm
1600000US2430325,2015,1,"Frederick, MD",65,0.000987241798298906,Assault
1600000US2430325,2015,1,"Frederick, MD",15,0.000227825030376671,Breaking & Entering
1600000US2430325,2015,1,"Frederick, MD",2700,0.0410085054678007,Community Policing
1600000US2430325,2015,1,"Frederick, MD",37,0.000561968408262454,Death
1600000US2430325,2015,1,"Frederick, MD",77,0.00116950182260024,Disorder
1600000US2430325,2015,1,"Frederick, MD",56,0.000850546780072904,Drugs
1600000US2430325,2015,1,"Frederick, MD",1,0.0000151883353584447,Emergency
1600000US2430325,2015,1,"Frederick, MD",119,0.00180741190765492,Family Offense
1600000US2430325,2015,1,"Frederick, MD",53,0.00080498177399757,Liquor
1600000US2430325,2015,1,"Frederick, MD",26,0.000394896719319563,Missing Person
1600000US2430325,2015,1,"Frederick, MD",535,0.00812575941676792,Other
1600000US2430325,2015,1,"Frederick, MD",8,0.000121506682867558,Other Sexual Offense
1600000US2430325,2015,1,"Frederick, MD",79,0.00119987849331713,Pedestrian Stop
1600000US2430325,2015,1,"Frederick, MD",57,0.000865735115431349,Property Crime
1600000US2430325,2015,1,"Frederick, MD",41,0.000622721749696233,Robbery
1600000US2430325,2015,1,"Frederick, MD",2,0.0000303766707168894,Sexual Assault
1600000US2430325,2015,1,"Frederick, MD",172,0.00261239368165249,Theft
1600000US2430325,2015,1,"Frederick, MD",7,0.000106318347509113,Theft of Vehicle
1600000US2430325,2015,1,"Frederick, MD",1695,0.0257442284325638,Traffic
1600000US2430325,2015,1,"Frederick, MD",145,0.00220230862697448,Vehicle Stop
1600000US2430325,2015,1,"Frederick, MD",14,0.000212636695018226,Weapons Offense
1600000US2430325,2016,1,"Frederick, MD",266,0.00404009720534629,Alarm
